seq,t0,t1,cv,cv_err,gen,number
b,4,44,123.2981124,7.123873827,0,1
b,40,8,116.3717828,10.23222545,0,2
b,44,4,104.2412236,11.10789099,0,3
b,20,28,105.8482488,5.805158908,0,4
a,8,40,90.66364072,8.063184351,0,5
a,20,28,101.4188838,9.593072375,0,6
a,32,16,104.811525,9.776592227,0,7
a,44,4,102.8202135,9.414134377,0,8
b,12,36,105.6511007,1.816814894,0,9
a,16,32,115.8520599,6.37883956,1,1
a,28,20,115.65702,5.956317669,1,2
b,34,14,119.8087191,10.06043331,1,3
a,14,34,114.3997166,7.81037686,1,4
b,26,22,113.2968081,4.828208643,1,5
b,13,35,104.2379642,8.45244549,1,6
a,30,18,115.2156203,4.366155381,1,7
b,18,30,115.240356,3.302631147,1,8
b,35,13,102.9911642,4.240019671,1,9
a,23,25,100.1257517,5.557808537,2,1
b,33,15,88.22945742,9.282627677,2,2
b,31,17,100.4869733,3.134329559,2,3
b,15,33,98.59754971,8.458592787,2,4
b,36,12,114.6793235,8.312317327,2,5
b,24,24,101.7188797,0.13836182,2,6
b,22,26,96.74021387,5.098603136,2,7
a,21,27,101.8115776,2.804765735,2,8
a,19,29,105.9961189,9.970536289,2,9
